sku_id,name,barcode
S0001,aloe,0000289908820
S0002,apple,0000196114796
S0003,bag,0000008526731
S0004,bandage,0000545710723
S0005,batteries(aa),0000554237457
S0006,clock,0000238748446
S0007,coke,0000426336509
S0008,cube,0000443389960
S0009,cup,0000417809777
S0010,doll,0000656558214
S0011,engineeringcalculator,0000034106921
S0012,excalibur,0000409283042
S0013,flipper,0000562764181
S0014,gamepad,0000025580198
S0015,gripper,0000579817641
S0016,guiter,0000042633655
S0017,handcream,0000511603806
S0018,keyboard,0000460443423
S0019,lipbalm,0000093794039
S0020,monitor,0000630978021
S0021,mouse,0000119374221
S0022,mousepad,0000341069209
S0023,plate,0000349595939
S0024,powerbank,0000588344374
S0025,shears,0000017053464
S0026,tissuebox,0000605397833
S0027,toothpaste,0000392229584
S0028,umbrella,0000315489019
S0029,usbflashdrive,0000596871107
S0030,wallet,0000358122669
S0031,공기청정기,0000613924564
S0032,김,0000051160388
S0033,노세범,0000068213848
S0034,독서 받침대,0000622451297
S0035,마스크팩,0000110847496
S0036,물티슈,0000639504757
S0037,배홍동 칼빔면,0000153481145
S0038,세럼,0000213168252
S0039,수분크림,0000230221718
S0040,썬스틱,0000255801902
S0041,오뚜기 작은밥,0000306962286
S0042,요가메트,0000648031480
S0043,운동화,0000324015742
S0044,주방세제,0000665084940
S0045,참치캔,0000673611671
S0046,체중계,0000682138404
S0047,쿠션,0000434863233
S0048,크록스,0000690665138
S0049,텀블러,0000699191867
S0050,통조림 닭가슴살,0000486023616
S0051,휴지,0000537183993
